Statistical values for datafile: Cerevisiae_WT2_Michel2017_trimmed1.bam.bed and Cerevisiae_WT2_Michel2017_trimmed2.bam.bed
| chromosome   | item                                        |   Dataset 1 |   Dataset 2 |
| IV           | Number of transposon insertions             | 59384       | 59297       |
| IV           | Coverage percent                            |     3.87641 |     3.87073 |
| IV           | Mean distance between insertions            |    25.7966  |    25.8345  |
| IV           | Median distance between insertions          |     8       |     8       |
| IV           | 25th percentile distance between insertions |     3       |     3       |
| IV           | 75th percentile distance between insertions |    22       |    22       |
| IV           | Largest area devoid of transposons          |  1520       |  1520       |
| IV           | Mean number of reads per transposon         |    22.0115  |    22.0612  |
| IV           | Median number of reads per transposon       |     6       |     6       |
| IV           | 25th percentile reads per transposon        |     2       |     2       |
| IV           | 75th percentile reads per transposon        |    21       |    21       |
|              |                                             |             |             |
|--------------|---------------------------------------------|-------------|-------------|
| V            | Number of transposon insertions             | 32816       | 32742       |
| V            | Coverage percent                            |     5.68859 |     5.67576 |
| V            | Mean distance between insertions            |    17.5785  |    17.6182  |
| V            | Median distance between insertions          |     6       |     6       |
| V            | 25th percentile distance between insertions |     2       |     2       |
| V            | 75th percentile distance between insertions |    15       |    15       |
| V            | Largest area devoid of transposons          |  1232       |  1232       |
| V            | Mean number of reads per transposon         |    34.3664  |    34.4728  |
| V            | Median number of reads per transposon       |     7       |     7       |
| V            | 25th percentile reads per transposon        |     2       |     2       |
| V            | 75th percentile reads per transposon        |    28       |    28       |
|              |                                             |             |             |
|--------------|---------------------------------------------|-------------|-------------|
| VI           | Number of transposon insertions             | 18179       | 18160       |
| VI           | Coverage percent                            |     6.72895 |     6.72192 |
| VI           | Mean distance between insertions            |    14.8603  |    14.8759  |
| VI           | Median distance between insertions          |     6       |     5       |
| VI           | 25th percentile distance between insertions |     3       |     3       |
| VI           | 75th percentile distance between insertions |    13       |    14       |
| VI           | Largest area devoid of transposons          |   832       |   832       |
| VI           | Mean number of reads per transposon         |    30.3082  |    30.3429  |
| VI           | Median number of reads per transposon       |     9       |     9       |
| VI           | 25th percentile reads per transposon        |     2       |     2       |
| VI           | 75th percentile reads per transposon        |    31       |    31       |
|              |                                             |             |             |
|--------------|---------------------------------------------|-------------|-------------|
| VII          | Number of transposon insertions             | 47476       | 47387       |
| VII          | Coverage percent                            |     4.35184 |     4.34369 |
| VII          | Mean distance between insertions            |    22.9783  |    23.0214  |
| VII          | Median distance between insertions          |     7       |     7       |
| VII          | 25th percentile distance between insertions |     3       |     3       |
| VII          | 75th percentile distance between insertions |    20       |    20       |
| VII          | Largest area devoid of transposons          |  2452       |  2452       |
| VII          | Mean number of reads per transposon         |    23.9789  |    24.0292  |
| VII          | Median number of reads per transposon       |     7       |     7       |
| VII          | 25th percentile reads per transposon        |     2       |     2       |
| VII          | 75th percentile reads per transposon        |    24       |    24       |
|              |                                             |             |             |
|--------------|---------------------------------------------|-------------|-------------|
| VIII         | Number of transposon insertions             | 29745       | 29627       |
| VIII         | Coverage percent                            |     5.28666 |     5.26568 |
| VIII         | Mean distance between insertions            |    18.9149  |    18.9902  |
| VIII         | Median distance between insertions          |     6       |     6       |
| VIII         | 25th percentile distance between insertions |     3       |     3       |
| VIII         | 75th percentile distance between insertions |    16       |    16       |
| VIII         | Largest area devoid of transposons          |  1036       |  1036       |
| VIII         | Mean number of reads per transposon         |    28.4695  |    28.5944  |
| VIII         | Median number of reads per transposon       |     8       |     8       |
| VIII         | 25th percentile reads per transposon        |     2       |     2       |
| VIII         | 75th percentile reads per transposon        |    28       |    28       |
|              |                                             |             |             |
|--------------|---------------------------------------------|-------------|-------------|
| IX           | Number of transposon insertions             | 23495       | 23467       |
| IX           | Coverage percent                            |     5.34113 |     5.33477 |
| IX           | Mean distance between insertions            |    18.7218  |    18.7442  |
| IX           | Median distance between insertions          |     6       |     6       |
| IX           | 25th percentile distance between insertions |     3       |     3       |
| IX           | 75th percentile distance between insertions |    17       |    17       |
| IX           | Largest area devoid of transposons          |  1074       |  1074       |
| IX           | Mean number of reads per transposon         |    32.2305  |    32.2846  |
| IX           | Median number of reads per transposon       |     9       |     9       |
| IX           | 25th percentile reads per transposon        |     2       |     2       |
| IX           | 75th percentile reads per transposon        |    33       |    33       |
|              |                                             |             |             |
|--------------|---------------------------------------------|-------------|-------------|
| X            | Number of transposon insertions             | 35580       | 35486       |
| X            | Coverage percent                            |     4.77103 |     4.75842 |
| X            | Mean distance between insertions            |    20.9592  |    21.0148  |
| X            | Median distance between insertions          |     7       |     7       |
| X            | 25th percentile distance between insertions |     3       |     3       |
| X            | 75th percentile distance between insertions |    19       |    19       |
| X            | Largest area devoid of transposons          |  1309       |  1309       |
| X            | Mean number of reads per transposon         |    31.0193  |    31.1048  |
| X            | Median number of reads per transposon       |     8       |     8       |
| X            | 25th percentile reads per transposon        |     2       |     2       |
| X            | 75th percentile reads per transposon        |    27       |    27       |
|              |                                             |             |             |
|--------------|---------------------------------------------|-------------|-------------|
| XI           | Number of transposon insertions             | 29138       | 29032       |
| XI           | Coverage percent                            |     4.36972 |     4.35382 |
| XI           | Mean distance between insertions            |    22.884   |    22.9675  |
| XI           | Median distance between insertions          |     8       |     8       |
| XI           | 25th percentile distance between insertions |     3       |     3       |
| XI           | 75th percentile distance between insertions |    21       |    21       |
| XI           | Largest area devoid of transposons          |  1110       |  1110       |
| XI           | Mean number of reads per transposon         |    29.562   |    29.6805  |
| XI           | Median number of reads per transposon       |     9       |     9       |
| XI           | 25th percentile reads per transposon        |     2       |     2       |
| XI           | 75th percentile reads per transposon        |    30       |    30       |
|              |                                             |             |             |
|--------------|---------------------------------------------|-------------|-------------|
| XII          | Number of transposon insertions             | 51524       | 51466       |
| XII          | Coverage percent                            |     4.77881 |     4.77343 |
| XII          | Mean distance between insertions            |    20.9253  |    20.9489  |
| XII          | Median distance between insertions          |     5       |     5       |
| XII          | 25th percentile distance between insertions |     2       |     2       |
| XII          | 75th percentile distance between insertions |    16       |    16       |
| XII          | Largest area devoid of transposons          |  2361       |  2361       |
| XII          | Mean number of reads per transposon         |    24.9631  |    25.0207  |
| XII          | Median number of reads per transposon       |     7       |     7       |
| XII          | 25th percentile reads per transposon        |     2       |     2       |
| XII          | 75th percentile reads per transposon        |    23       |    23       |
|              |                                             |             |             |
|--------------|---------------------------------------------|-------------|-------------|
| XIII         | Number of transposon insertions             | 40624       | 40408       |
| XIII         | Coverage percent                            |     4.39449 |     4.37112 |
| XIII         | Mean distance between insertions            |    22.7552  |    22.8769  |
| XIII         | Median distance between insertions          |     7       |     7       |
| XIII         | 25th percentile distance between insertions |     3       |     3       |
| XIII         | 75th percentile distance between insertions |    20       |    20       |
| XIII         | Largest area devoid of transposons          |  2097       |  2097       |
| XIII         | Mean number of reads per transposon         |    25.8973  |    26.0516  |
| XIII         | Median number of reads per transposon       |     7       |     7       |
| XIII         | 25th percentile reads per transposon        |     2       |     2       |
| XIII         | 75th percentile reads per transposon        |    25       |    25       |
|              |                                             |             |             |
|--------------|---------------------------------------------|-------------|-------------|
| XIV          | Number of transposon insertions             | 34999       | 34915       |
| XIV          | Coverage percent                            |     4.46226 |     4.45155 |
| XIV          | Mean distance between insertions            |    22.4095  |    22.4634  |
| XIV          | Median distance between insertions          |     7       |     7       |
| XIV          | 25th percentile distance between insertions |     3       |     3       |
| XIV          | 75th percentile distance between insertions |    19       |    19       |
| XIV          | Largest area devoid of transposons          |  1972       |  1972       |
| XIV          | Mean number of reads per transposon         |    26.3741  |    26.4534  |
| XIV          | Median number of reads per transposon       |     7       |     7       |
| XIV          | 25th percentile reads per transposon        |     2       |     2       |
| XIV          | 75th percentile reads per transposon        |    27       |    27       |
|              |                                             |             |             |
|--------------|---------------------------------------------|-------------|-------------|
| XV           | Number of transposon insertions             | 47270       | 47031       |
| XV           | Coverage percent                            |     4.33157 |     4.30967 |
| XV           | Mean distance between insertions            |    23.0858  |    23.2032  |
| XV           | Median distance between insertions          |     7       |     7       |
| XV           | 25th percentile distance between insertions |     3       |     3       |
| XV           | 75th percentile distance between insertions |    21       |    21       |
| XV           | Largest area devoid of transposons          |  1487       |  1455       |
| XV           | Mean number of reads per transposon         |    35.5725  |    35.7544  |
| XV           | Median number of reads per transposon       |     7       |     7       |
| XV           | 25th percentile reads per transposon        |     2       |     2       |
| XV           | 75th percentile reads per transposon        |    27       |    27       |
|              |                                             |             |             |
|--------------|---------------------------------------------|-------------|-------------|
| XVI          | Number of transposon insertions             | 43789       | 43689       |
| XVI          | Coverage percent                            |     4.61877 |     4.60822 |
| XVI          | Mean distance between insertions            |    21.6503  |    21.6998  |
| XVI          | Median distance between insertions          |     7       |     7       |
| XVI          | 25th percentile distance between insertions |     3       |     3       |
| XVI          | 75th percentile distance between insertions |    18       |    18       |
| XVI          | Largest area devoid of transposons          |  1558       |  1558       |
| XVI          | Mean number of reads per transposon         |    24.6099  |    24.6711  |
| XVI          | Median number of reads per transposon       |     7       |     7       |
| XVI          | 25th percentile reads per transposon        |     2       |     2       |
| XVI          | 75th percentile reads per transposon        |    23       |    23       |
|              |                                             |                    |                    |
|--------------|---------------------------------------------|--------------------|--------------------|
| Genome       | Number of insertions                        | 565302             | 563680             |
| Genome       | Coverage percent                            | 4.683147485205851  | 4.669710684642267  |
| Genome       | Mean distance between insertions            | 21.35316052204246  | 21.41460290653118  |
| Genome       | Median distance between insertions          | 7.0                | 7.0                |
| Genome       | 25th percentile distance between insertions | 3.0                | 3.0                |
| Genome       | 75th percentile distance between insertions | 18.0               | 18.0               |
|              |                                             |                    |                    |
| Genome       | Mean number of reads per transposon         | 28.434337752210322 | 28.527446423502695 |
| Genome       | Median number of reads per transposon       | 7.0                | 7.0                |
| Genome       | 25th percentile reads per transposon        | 2.0                | 2.0                |
| Genome       | 75th percentile reads per transposon        | 26.0               | 26.0               |
